"","mean_PM25","RR","Lower_CI","Upper_CI"
"1",49,1.00457467240399,1.00265412288007,1.00649890067454
"2",63,1.02615769043424,1.01510836146376,1.03732728998403
"3",47,1.00152866633935,1.0008874633439,1.00217028011153
"4",49,1.00457467240399,1.00265412288007,1.00649890067454
"5",57,1.01685161875623,1.00975199929978,1.02400115601077
"6",46,1.00000912852245,1.00000530122788,1.00001295583167
"7",74,1.04344058354642,1.02500226372337,1.06221058228367
"8",66,1.03084261563285,1.01779718821684,1.04405525040455
"9",48,1.00305051313035,1.0017704036658,1.00433225837914
"10",56,1.01530883267251,1.00886202415973,1.02179683744305
"11",52,1.00916106028618,1.00530996075121,1.01302691245289
"12",50,1.00610114767414,1.00353862167382,1.0086702170594
"13",48,1.00305051313035,1.0017704036658,1.00433225837914
"14",61,1.02304624174436,1.01331975777073,1.03286608666331
"15",56,1.01530883267251,1.00886202415973,1.02179683744305
"16",50,1.00610114767414,1.00353862167382,1.0086702170594
"17",48,1.00305051313035,1.0017704036658,1.00433225837914
"18",56,1.01530883267251,1.00886202415973,1.02179683744305
"19",47,1.00152866633935,1.0008874633439,1.00217028011153
"20",49,1.00457467240399,1.00265412288007,1.00649890067454
"21",51,1.00762994246002,1.00442390073476,1.01084621761714
"22",64,1.02771696161712,1.01600384685673,1.03956511234003
"23",55,1.01376838733237,1.00797283342591,1.01959726400704
"24",94,1.07561320164119,1.04323889148644,1.1089921675527
"25",123,1.12403362620021,1.07025986224278,1.18050918043508
"26",122,1.12232822159235,1.06931655668712,1.17796795448965
"27",70,1.03712247126386,1.02139337276758,1.05309379234166
"28",61,1.02304624174436,1.01331975777073,1.03286608666331
"29",54,1.01223027918439,1.00708442640694,1.0174024254881
"30",54,1.01223027918439,1.00708442640694,1.0174024254881
"31",47,1.00152866633935,1.0008874633439,1.00217028011153
"32",56,1.01530883267251,1.00886202415973,1.02179683744305
"33",49,1.00457467240399,1.00265412288007,1.00649890067454
"34",50,1.00610114767414,1.00353862167382,1.0086702170594
"35",68,1.03397777587782,1.01959369499137,1.04856478248258
"36",69,1.03554892986778,1.02049313715468,1.05082684743991
"37",65,1.02927860214989,1.0169001222088,1.04180776234198
"38",86,1.06262679799219,1.03590562477032,1.09003724355827
"39",59,1.01994422738708,1.01153430556702,1.02842406951002
"40",56,1.01530883267251,1.00886202415973,1.02179683744305
"41",59,1.01994422738708,1.01153430556702,1.02842406951002
"42",56,1.01530883267251,1.00886202415973,1.02179683744305
"43",67,1.03240900567175,1.01869504557833,1.04630758696487
"44",46,1.00000912852245,1.00000530122788,1.00001295583167
"45",54,1.01223027918439,1.00708442640694,1.0174024254881
"46",47,1.00152866633935,1.0008874633439,1.00217028011153
"47",65,1.02927860214989,1.0169001222088,1.04180776234198
"48",84,1.0594047700434,1.03408037665254,1.08534935207249
"49",55,1.01376838733237,1.00797283342591,1.01959726400704
"50",59,1.01994422738708,1.01153430556702,1.02842406951002
"51",58,1.01839674914035,1.01064275953801,1.02621022994685
"52",46,1.00000912852245,1.00000530122788,1.00001295583167
"53",56,1.01530883267251,1.00886202415973,1.02179683744305
"54",54,1.01223027918439,1.00708442640694,1.0174024254881
"55",72,1.04027673079074,1.02319622714259,1.05764236411112
"56",55,1.01376838733237,1.00797283342591,1.01959726400704
"57",48,1.00305051313035,1.0017704036658,1.00433225837914
"58",46,1.00000912852245,1.00000530122788,1.00001295583167
"59",58,1.01839674914035,1.01064275953801,1.02621022994685
"60",46,1.00000912852245,1.00000530122788,1.00001295583167
"61",52,1.00916106028618,1.00530996075121,1.01302691245289
"62",53,1.01069450468255,1.00619680241209,1.01521231169362
"63",56,1.01530883267251,1.00886202415973,1.02179683744305
"64",48,1.00305051313035,1.0017704036658,1.00433225837914
"65",50,1.00610114767414,1.00353862167382,1.0086702170594
"66",53,1.01069450468255,1.00619680241209,1.01521231169362
"67",53,1.01069450468255,1.00619680241209,1.01521231169362
"68",56,1.01530883267251,1.00886202415973,1.02179683744305
"69",60,1.02149405706407,1.01242663807999,1.03064268498116
"70",68,1.03397777587782,1.01959369499137,1.04856478248258
"71",57,1.01685161875623,1.00975199929978,1.02400115601077
"72",50,1.00610114767414,1.00353862167382,1.0086702170594
"73",51,1.00762994246002,1.00442390073476,1.01084621761714
"74",63,1.02615769043424,1.01510836146376,1.03732728998403
"75",47,1.00152866633935,1.0008874633439,1.00217028011153
"76",48,1.00305051313035,1.0017704036658,1.00433225837914
"77",56,1.01530883267251,1.00886202415973,1.02179683744305
"78",53,1.01069450468255,1.00619680241209,1.01521231169362
"79",53,1.01069450468255,1.00619680241209,1.01521231169362
"80",47,1.00152866633935,1.0008874633439,1.00217028011153
"81",47,1.00152866633935,1.0008874633439,1.00217028011153
"82",70,1.03712247126386,1.02139337276758,1.05309379234166
"83",50,1.00610114767414,1.00353862167382,1.0086702170594
"84",51,1.00762994246002,1.00442390073476,1.01084621761714
"85",51,1.00762994246002,1.00442390073476,1.01084621761714
